FIPS,state,county,buildings,minimal_exposure,indirect_exposure,direct_exposure,burn_probability,wildfire_risk,population,svi,svi_socioeconomic,svi_household,svi_minority,svi_housing_transport,county_label,svi_quartile,high_high,compound_priority
13311,GA,"White County, GA",19891,5.0274e-4,0.069126741,0.930370519,0.739,0.696,28165,0.3455,0.4009,0.2195,0.2692,0.5049,"White County, GA",Q2,FALSE,0.5207499999999999
13313,GA,"Whitfield County, GA",43300,0.118475751,0.180969977,0.700554273,0.651,0.605,103033,0.8836,0.8766,0.8266,0.8139,0.7668,"Whitfield County, GA",Q4: Most vulnerable,FALSE,0.7443
13315,GA,"Wilcox County, GA",6881,0,0.231943032,0.768056968,0.539,0.525,8839,0.8212,0.8501,0.6262,0.7894,0.7044,"Wilcox County, GA",Q4: Most vulnerable,FALSE,0.6731
13317,GA,"Wilkes County, GA",9122,0,0.07355843,0.92644157,0.656,0.617,9610,0.6083,0.7954,0.5606,0.8632,0.1594,"Wilkes County, GA",Q3,FALSE,0.6126499999999999
13319,GA,"Wilkinson County, GA",7150,0.001818182,0.120699301,0.877482517,0.514,0.496,8852,0.784,0.8228,0.8234,0.8279,0.412,"Wilkinson County, GA",Q4: Most vulnerable,FALSE,0.64
13321,GA,"Worth County, GA",15343,0.051554455,0.189402333,0.759043212,0.526,0.533,20706,0.8571,0.938,0.8816,0.7019,0.4585,"Worth County, GA",Q4: Most vulnerable,FALSE,0.69505
15001,HI,"Hawaii County, HI",105607,0.037724772,0.352656547,0.609618681,0.808,0.844,202163,0.636,0.4502,0.7894,0.9602,0.4881,"Hawaii County, HI",Q3,FALSE,0.74
15003,HI,"Honolulu County, HI",236799,0.229418199,0.688457299,0.082124502,0.98,0.987,1010100,0.5708,0.2307,0.2638,0.9854,0.957,"Honolulu County, HI",Q3,FALSE,0.7788999999999999
15005,HI,"Kalawao County, HI",237,0.004219409,0.400843882,0.594936709,0.857,0.89,50,0.1871,0.0983,0.0614,0.9723,0.4044,"Kalawao County, HI",Q1: Least vulnerable,FALSE,0.53855
15007,HI,"Kauai County, HI",29257,0.102129405,0.541101275,0.35676932,0.885,0.912,73511,0.3964,0.2367,0.3446,0.9625,0.4566,"Kauai County, HI",Q2,FALSE,0.6542
15009,HI,"Maui County, HI",53908,0.033093418,0.61495510900000006,0.351951473,0.86,0.897,164765,0.4938,0.2918,0.4003,0.9605,0.6032,"Maui County, HI",Q2,FALSE,0.6954
16001,ID,"Ada County, ID",200711,0.568020686,0.163414063,0.268565251,0.991,0.985,497494,0.1931,0.1559,0.161,0.4779,0.3767,"Ada County, ID",Q1: Least vulnerable,FALSE,0.58905
